Date,Close/Last,Volume,Open,High,Low,,,
01/11/2021,2006.5,145,2008.5,2008.5,2001,,,
01/08/2021,2023.75,255,2034,2034,2017.5,,,
01/07/2021,2040.75,319,2046,2054.25,2023,,,
01/06/2021,2039.5,293,2076,2076.75,2038.5,,,
01/05/2021,2051.5,156,2046.75,2052.25,2045.5,,,
01/04/2021,2047.5,100,2023.25,2048.5,2023.25,,,
12/29/2020,2014.25,70,2010.5,2014.25,2009.5,,,
12/22/2020,2017.25,8,2017.25,2017.25,2017.25,,,
12/21/2020,2045,63,2065.5,2065.5,2038.25,,,
12/18/2020,2075,1,2071.5,2071.5,2071.5,,,
12/11/2020,2060.25,10,2040.25,2040.25,2034.75,,,
12/10/2020,2065,12,2065,2065,2065,,,
12/09/2020,2045,32,2034.5,2034.5,2034,,,
12/08/2020,2001.25,35,2005,2012,2000,,,
12/07/2020,2025.75,28,2023,2023,2022.75,,,
12/04/2020,2051.5,25,2057.5,2057.5,2056.25,,,
12/02/2020,2068.25,156,2074.5,2074.75,2038,,,
12/01/2020,2062.5,54,2061.5,2064.75,2061.5,,,
11/30/2020,2039.5,5,2032.75,2032.75,2032.75,,,
11/25/2020,1987.5,43,1990,1990,1979,,,
11/24/2020,1982,56,1973,1982.5,1981.5,,,
11/23/2020,1969.5,95,1991.75,1970,1968.5,,,
11/20/2020,1993.75,101,2002.5,2007.5,1993.75,,,
11/19/2020,1993,146,1996,2002.25,1991,,,
11/16/2020,1998.5,222,1950,1969,1950,,,
11/13/2020,1944.5,10,1959,1959.25,1959,,,
11/10/2020,1923.25,68,1919,1926.75,1919,,,
11/06/2020,1923,85,1929.5,1929.5,1915,,,
11/05/2020,1913.25,129,1913.25,1913.25,1913.25,,,
11/04/2020,1926.5,117,1887.25,1916,1907.25,,,
11/03/2020,1919.5,86,1886.75,1918,1918,,,
11/02/2020,1885,6,1885,1885,1885,,,
10/29/2020,1815.5,9,1811.5,1815.5,1811,,,
10/28/2020,1817,7,1817.25,1817.25,1817.25,,,
10/21/2020,1865,37,1867.75,1868,1867.75,,,
10/20/2020,1854.5,27,1867.25,1867.25,1854.25,,,
10/19/2020,1863.75,18,1866.5,1868,1864.75,,,
10/16/2020,1878.5,62,1886.5,1886.5,1878,,,
10/15/2020,1868.25,15,1865,1865,1865,,,
10/14/2020,1865.5,129,1878.25,1878.25,1864.75,,,
10/13/2020,1872.5,123,1874.5,1875,1865,,,
10/12/2020,1881.5,115,1877.75,1882,1877.5,,,
10/09/2020,1876.25,137,1843.5,1879.5,1843.5,,,
10/08/2020,1835,47,1828.75,1833.5,1828.75,,,
10/07/2020,1809,162,1791.25,1815.75,1791.25,,,
10/06/2020,1787.5,175,1806.25,1806.5,1786,,,
10/05/2020,1797.5,73,1794.75,1799.25,1794.25,,,
10/02/2020,1795,253,1757.5,1798.5,1757.5,,,
10/01/2020,1763.5,194,1790,1790,1760.75,,,
09/29/2020,1797.25,2,1805,1805,1805,,,
09/28/2020,1792,25,1793,1793.5,1793,,,
09/25/2020,1767,32,1764.5,1769,1762.75,,,
09/24/2020,1755.75,61,1755.75,1755.75,1755.75,,,
09/23/2020,1777.75,384,1786.75,1792,1772,,,
09/18/2020,1804.75,254,1798,1814,1796,,,
09/17/2020,1791.75,271,1800.5,1800.5,1791,,,
09/16/2020,1807.25,245,1820,1820.5,1802.5,,,
09/15/2020,1786,19,1807.5,1815.25,1805,,,
09/14/2020,1811,177,1797.5,1811,1794.5,,,
09/11/2020,1789,153,1793,1793,1788.75,,,
09/10/2020,1800,337,1789.5,1799.75,1795.75,,,
