Date,Close/Last,Volume,Open,High,Low
01/09/2020,2060.4,7910,2065.1,2114,2016.3
01/08/2020,2061.4,6773,2023.3,2068.5,1990
01/07/2020,2014.3,4760,1998,2023,1980.5
01/06/2020,1989.6,5120,1958.4,1998.7,1955.8
01/03/2020,1955.5,N/A,1955.5,1955.5,1955.5
01/02/2020,1927.8,N/A,1927.8,1927.8,1927.8
12/31/2019,1909.1,N/A,1909.1,1909.1,1909.1
12/30/2019,1880.5,2329,1878,1885.1,1872.3
12/27/2019,1881.2,3059,1867.8,1882.2,1860.1
12/26/2019,1868.5,N/A,1868.5,1868.5,1868.5
12/24/2019,1851.7,N/A,1851.7,1851.7,1851.7
12/23/2019,1849,6232,1827,1856,1785.3
12/20/2019,1808.8,N/A,1808.8,1808.8,1808.8
12/19/2019,1900.9,N/A,1900.9,1900.9,1900.9
12/18/2019,1896.2,4477,1925,1928.3,1889.9
12/17/2019,1918.6,5745,1955,1974.6,1905.3
12/16/2019,1963.6,4274,1907.3,1969.8,1907.1
12/13/2019,1890.4,1,1890.4,1890.4,1890.4
12/12/2019,1914.2,4115,1914.4,1920.1,1914
12/11/2019,1885.1,2894,1870,1892,1865
12/10/2019,1871.3,N/A,1871.3,1871.3,1871.3
12/09/2019,1856.6,2495,1850.2,1868.6,1844.4
12/06/2019,1844.2,6,1845.9,1845.9,1843.8
12/05/2019,1845.7,3460,1841.5,1848.5,1820
12/04/2019,1845.4,3569,1829,1846.5,1823.1
12/03/2019,1828.2,31,1840,1840,1828.7
12/02/2019,1824.7,3393,1812.4,1835.4,1808.7
11/29/2019,1810.1,4425,1814.2,1818,1795.9
11/27/2019,1811.4,1214,1783.4,1816.9,1774
11/26/2019,1782,6027,1768.7,1792,1752
11/25/2019,1772,4641,1746.2,1786.2,1744.6
11/22/2019,1745.9,N/A,1745.9,1745.9,1745.9
11/21/2019,1731.9,5939,1732.8,1739.1,1723.7
11/20/2019,1744.3,N/A,1744.3,1744.3,1744.3
11/19/2019,1739.9,N/A,1739.9,1739.9,1739.9
11/18/2019,1704.4,3807,1674.4,1708.3,1670.9
11/15/2019,1685,N/A,1685,1685,1685
11/14/2019,1702.1,3832,1675.2,1705.1,1673.2
11/13/2019,1675.1,4031,1665.4,1698.2,1661
11/12/2019,1672.6,N/A,1672.6,1672.6,1672.6
11/11/2019,1656,6434,1708.2,1724.3,1644.3
11/08/2019,1711.1,N/A,1711.1,1711.1,1711.1
