Country Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Grenada,7291.74,7444.09,7789.63,8370.04,9096.54,9628.17,10152.83,10486.38,10815.91,9680.18
Greenland,47186.98,45936.77,47535.59,50484.93,44536.4,48181.87,50321.37,54470.96,,
Guatemala,3228.05,3355.04,3522.77,3779.64,3994.64,4173.3,4454.05,4478.42,4638.63,4603.34
Guam,31210.47,32908.31,33656.45,34843.21,35829.25,36214.01,36601.92,36502.38,37723.78,
Guyana,4908.57,5378.81,5489.14,5407.15,5576.83,5811.4,6124.95,6145.82,6609.51,6955.94
High income,42260.25,42042.25,42307.57,42976.57,40397.86,41023.05,42685.23,45117.24,45297.72,43833.93
"Hong Kong SAR, China",35142.49,36730.88,38403.78,40315.29,42431.89,43731.11,46165.86,48542.68,48354.47,46323.86
Honduras,2088.32,2144.34,2102.59,2206.05,2302.2,2342.58,2453.73,2510.32,2574.36,2405.73
Heavily indebted poor countries (HIPC),852.37,872.44,945,970.91,927.12,909.51,944.46,979.89,984.82,973.27
Croatia,14609.52,13258.36,13674.42,13599.41,11781.73,12361.48,13451.62,15014.09,14944.36,13828.47
Haiti,1287.95,1337.34,1393.96,1402.1,1389.12,1265.99,1294.24,1435.35,1272.49,1176.76
Hungary,14216.17,12950.69,13687.51,14267.01,12706.89,13090.51,14605.85,16411.44,16733.32,15899.15
IBRD only,5288.46,5567.75,5824.77,5965.71,5579.99,5572.72,6094.72,6415.15,6510.73,6187.69
IDA & IBRD total,4312.47,4529.5,4737.41,4848.12,4536.06,4505.6,4889.87,5127.06,5192.13,4929.86
IDA total,1190.09,1249.63,1347.17,1408.98,1366.15,1305.68,1321.43,1364.11,1396.32,1364.16
IDA blend,1721.45,1859.74,1972.6,2068.87,1949.18,1773.84,1712.65,1747.51,1758.04,1664.26
Indonesia,3643.05,3694.36,3623.93,3491.64,3331.7,3562.82,3837.58,3893.86,4135.2,3869.59
IDA only,915.62,932.24,1022.15,1065.28,1063.64,1065.85,1124.56,1172.23,1217.41,1219.78
Isle of Man,77349.23,79148.33,83357.13,92334.65,85126.97,82197.13,83477.83,89112.67,,
India,1458.1,1443.88,1449.61,1573.89,1605.61,1732.55,1980.67,1996.92,2100.75,1900.71
Ireland,51954.5,48911.82,51591.94,55661,62025.06,63036.54,70587.48,79336.47,80778.83,83812.8
"Iran, Islamic Rep.",7781.41,7927.84,6018.32,5585.53,4904.33,5253.43,5520.31,3598.48,3114.62,2282.55
Iraq,6045.49,6836.07,7076.55,6637.68,4688.32,4550.66,5076.69,5523.08,5658.49,4157.48
Iceland,47714.59,45995.55,49804.98,54576.74,52951.68,61987.93,72010.15,74348.36,68883.15,59260.89
Israel,33610.69,32510.35,36316.48,37738.42,35813.71,37282.53,40474.67,41704.83,43588.71,43610.52
Italy,38649.64,35051.52,35560.08,35565.72,30242.39,30960.73,32406.72,34625.58,33566.79,31676.2
Jamaica,5111.47,5209.86,4989.73,4834.28,4907.93,4843.75,5070.1,5359.99,5369.5,4664.53
Jordan,3852.89,3910.35,4044.43,4131.45,4164.11,4175.36,4231.52,4308.15,4405.49,4282.77
Japan,48168,48603.48,40454.45,38109.41,34524.47,38761.82,38386.51,39159.42,40113.06,
Kazakhstan,11634,12386.7,13890.63,12807.26,10510.77,7714.84,9247.58,9812.63,9812.6,9055.75
Kenya,971.63,1136.87,1210.39,1315.8,1336.88,1410.53,1572.35,1708,1816.55,1838.21
Kyrgyz Republic,1123.88,1177.97,1282.44,1279.77,1121.08,1120.67,1242.77,1308.14,1374.03,1173.61
Cambodia,882.28,950.88,1013.42,1093.5,1162.9,1269.59,1385.26,1512.13,1643.12,1512.73
Kiribati,1734.9,1788.69,1715.81,1642.82,1542.62,1584.74,1640.57,1698.33,1655.05,1670.82
St. Kitts and Nevis,16539.77,16046.49,16685.95,18051.18,18028.97,18810.56,19158.74,19276.52,19773.46,17435.93
"Korea, Rep.",25096.26,25466.76,27182.73,29249.58,28732.23,29288.87,31616.84,33422.94,31846.22,31489.12
Kuwait,48631.78,51979.12,49388.05,44062.34,29869.55,27653.16,29759.47,33399.06,32373.25,
Latin America & Caribbean (excluding high income),9878.57,9843.21,9963.79,10096.42,8515.47,8202.39,9054.99,8705.67,8526.2,6993.82
Lao PDR,1378.36,1581.4,1825.67,1998.33,2134.71,2308.8,2423.85,2542.49,2544.95,2630.2
Lebanon,7675.31,7952.15,7933.23,7687.93,7644.55,7626.3,7792.6,8012.54,7583.7,4891
Liberia,596.9,657.94,721.93,721.18,710.38,714.62,698.7,677.32,621.89,583.27
Libya,5554.18,13025.28,10363.8,6466.91,4337.92,4035.2,5756.7,7877.12,7685.95,3699.23
St. Lucia,8983.74,9086.39,9378.99,9843.31,10093.62,10361.58,11047.44,11357.83,11611.1,9276.12
Latin America & Caribbean,10204.24,10198.39,10339.95,10433.17,8888.23,8600.76,9461.21,9158.44,8951.81,7417.25
Least developed countries: UN classification,906.41,932.58,997.69,1052.69,1011.53,986.92,1053.96,1065.29,1094.89,1068.8
Low income,773.32,777.73,828.56,874.32,851.36,785.63,790.86,795.95,820.9,821.86
Liechtenstein,158130.46,149010.22,173030.21,178864.85,167313.27,165642.39,171253.96,180366.72,,
Sri Lanka,3200.86,3350.52,3610.29,3819.25,3843.78,3886.29,4076.75,4058.8,3851.56,3682.04
Lower middle income,2020.21,2087.32,2093.38,2145.5,2074.98,2134.94,2266.94,2264.39,2352.78,2200.4
Low & middle income,4190.2,4413.68,4617.7,4730.57,4435.36,4406.19,4779.98,5006.1,5075.83,4819.44
Lesotho,1287.27,1229.64,1166.91,1194.58,1146.06,1018.93,1102.94,1192.48,1113.37,861.01
Late-demographic dividend,7508.41,7983.94,8553.67,8819.29,8219.92,8190.67,9034.76,9849.98,9989.87,9758.45
Lithuania,4168.37,4162.73,4554.75,4797.54,14263.96,15008.31,16885.41,19176.18,19555.21,19997.59
Luxembourg,115913.19,106742.91,113657.44,118981.91,101417.27,104349.23,107627.15,116654.26,114685.17,115873.6
Latvia,19771.04,19815.41,21514.93,15734.47,13780.15,14325.52,15682.22,17858.28,17794.48,17619.95
"Macao SAR, China",66891.28,76572.15,89260.76,93022.88,74839.33,73569.43,81044.89,87554.71,86117.66,
Morocco,3046.95,2912.66,3121.68,3171.7,2875.26,2896.72,3035.45,3226.98,3230.41,3009.25
Monaco,169016.2,157520.22,177673.75,189432.37,165989.51,170028.66,167517.06,185978.61,190512.74,
Moldova,2942.26,3045.74,3322.04,3328.8,2732.46,2880.44,3509.69,4230.36,4494.02,4551.13
Madagascar,531.27,518.15,541.07,530.86,467.24,475.96,515.29,518.4,526.22,495.49
Maldives,7291.47,7265.72,7928.48,8499.31,9033.46,9209.4,9577.7,10276.77,10626.43,7455.86
Middle East & North Africa,8326.33,8897.74,8656.29,8527.82,7357.41,7257.02,7403.3,7546.7,7511.82,6669.9
Mexico,10203.42,10241.73,10725.18,10928.92,9616.65,8744.52,9287.85,9686.51,9946.03,8346.7
Marshall Islands,3046.29,3181.62,3246.63,3185.26,3199.89,3491,3672.58,3793.55,4073.11,
Middle income,4528.29,4777.98,5003.16,5129.1,4811.88,4790.89,5208.92,5465.32,5548.16,5272.15
North Macedonia,5063.89,4697.2,5210.15,5468.13,4843.49,5133,5432.41,6087.47,6022.24,5888
Mali,837.61,778.63,805.03,848.28,751.47,780.72,830.02,894.8,879.12,858.92
Malta,23155.55,22527.64,24771.08,26754.27,24921.6,25741.45,28250.7,30672.29,30186.2,27884.64
Myanmar,1061.92,1035.8,1121.94,1140.77,1144.47,1158.43,1257.8,1279.09,1477.36,1400.22
Middle East & North Africa (excluding high income),4624.84,5014.19,4609.47,4453.93,3924.98,3919.47,3801.05,3501.87,3507.51,3066.23
Montenegro,7328.93,6586.72,7189.3,7388.15,6517.16,7033.6,7803.41,8850.09,8910.65,7686.09
Mongolia,3757.57,4351.89,4366.09,4158.52,3918.59,3660.15,3669.41,4134.98,4339.84,4007.31
Northern Mariana Islands,13496.75,13736.97,14091.19,15044.94,16314.38,21891.18,27584.74,22886.67,20659.64,
Mozambique,594.59,657.64,664.08,673.97,589.86,428.93,461.42,503.32,503.57,448.61
Mauritania,1879.77,1815.22,1892.09,1677.11,1524.07,1536.85,1577.86,1601.29,1679.44,1672.92
Mauritius,9197.04,9291.24,9637.02,10153.93,9260.45,9681.62,10484.91,11208.33,11097.59,8622.68
Malawi,534.95,391.56,348.43,371.27,380.6,315.78,497.31,535.35,583.11,625.29
Malaysia,10399.37,10817.43,10970.1,11319.06,9955.24,9817.79,10259.3,11377.65,11414.2,10401.79
North America,50123.85,51717.79,53068.03,54648.02,55542.97,56451.52,58605.34,61381.63,63341.78,61453.13
Namibia,5806.75,5942.29,5392.09,5469.9,4896.62,4546.99,5367.11,5587.99,5037.34,4211.05
Niger,512.6,529.74,552.57,564.6,484.24,498.11,517.98,572.43,553.89,565.06
Nigeria,2487.6,2723.82,2961.55,3098.99,2687.48,2176,1968.57,2027.78,2229.86,2097.09
Nicaragua,1655.82,1760.47,1811.64,1934.06,2049.85,2107.57,2159.16,2014.57,1926.7,1905.26
Netherlands,54230.31,50070.14,52198.9,52900.54,45193.4,46039.11,48675.22,53044.53,52295.04,52304.06
Norway,100600.56,101524.14,102913.45,97019.18,74355.52,70460.56,75496.75,82267.81,75826.08,67294.48
Nepal,799.58,804.14,823.36,844.85,901.75,899.52,1048.45,1178.53,1194.96,1155.14
Nauru,6560.27,9562.67,9648.5,10171.48,8365.07,9555.79,10360.78,11614.67,10983.22,
New Zealand,39168.28,40170.14,42994.23,43366.51,37463.77,40818.09,43225.8,42621.4,41999.37,41791.79
OECD members,37358.35,37092.26,37356.99,37892.2,35551.44,35998.84,37352.37,39271.12,39412.1,37975.91
Oman,20876.59,21872.61,20865.79,20035.22,16033.46,14609.98,15127.89,16521.21,15343.04,
Other small states,14905.06,15218.63,15558.88,15759.55,12814.44,12411.01,13243.41,14403.24,13821.34,11821.75
Pakistan,1164.98,1198.12,1208.92,1251.18,1356.67,1368.43,1464.93,1482.21,1284.7,1193.73
Panama,9358.26,10722.25,11889.07,12796.06,13630.32,14343.98,15146.4,15544.73,15727.97,12269.05
Peru,5869.32,6528.97,6756.75,6672.88,6229.1,6205,6710.51,6957.79,7027.61,6126.87
